seating,name,building_number,street,borough,zip_code,neighborhood
sidewalk,la choza del gordo restaurant,4105,northern blvd,Queens,11101,Astoria
sidewalk,uno,37-11,35th ave,Queens,11101,Astoria
roadway,no 5,No 5,3543 37th st,Queens,11101,Astoria
sidewalk,sushi x9,47-15,northern blvd,Queens,11101,Astoria
both,"astoria apple, llc",38-01,35th ave,Queens,11101,Astoria
sidewalk,pizzeria uno chicago bar & grill,37-11,35th avenue,Queens,11101,Astoria
sidewalk,steinway cafe billiards,35-25,steinway street,Queens,11101,Astoria
sidewalk,cavali,36-21,steinway st.,Queens,11101,Astoria
both,cafe ole,38-09,36 avenue,Queens,11101,Astoria
both,cavali,36-21,steinway st.,Queens,11101,Astoria
both,el mero mero restaurant,35-57,38th street,Queens,11101,Astoria
both,villa brasil corp,4316,34th avenue,Queens,11101,Astoria
both,twist and smashd sports,3402,steinway st.,Queens,11101,Astoria
both,esquina tequila,4001,northern blvd,Queens,11101,Astoria
both,riviera,34-48,steinway street,Queens,11101,Astoria
sidewalk,no5nyc,35-43,37th street,Queens,11101,Astoria
both,tacombi,nil,2710 43rd ave,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,indie lic,43-10,crescent street,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,av lic inc,1305,43rd avenue,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,infamous,nil,2203 jackson ave,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,bellwether,4725,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,sweet chick,46-42,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,hupo,44111,50th ave,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,5 star banquet,1305,43rd avenue,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,the baroness bar,nil,4718 vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,brooks 1890 resturant,2428,jackson ave.,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,manducatis rustica,4635,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,savanna rooftop,44136,43rd avenue,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,sushi daizen,47-38,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,wxyz lounge,27-45,jackson avenue,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,the local ny,13-02,44th avenue,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,maiella,4610,center blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,santa chiara caffe,,5241 center blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,maiella,4610,center blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,hibino lic,1070,jackson avenue,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,tuk tuk,4906,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,lic bar,4558,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,piatto lic,18264,50th ave,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,massa's coal fired pizzeria & bar,42-12,28th street,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,m. wells steakhouse,43-15,crescent,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,jacksons,1037,jackson avenue,Queens,11101,Hunters Point-Sunnyside-West Maspeth
roadway,levante,26-19,jackson avenue,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,spice,4745,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,the inkan restaurant,4502,23rd street,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,sapps,27-26,jackson ave,Queens,11101,Hunters Point-Sunnyside-West Maspeth
roadway,levante,26-15,jackson avenue,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,sapps,nil,2726 jackson ave,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,m. wells steakhouse,43-15,crescent street,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,mu ramen,1209,jackson ave,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,tournesol restaurant,5012,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,pj leahys,5002,vernon boulevard,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,cafe henri,10-Oct,50th avenue,Queens,11101,Hunters Point-Sunnyside-West Maspeth
roadway,murray's cheese,nil,2830 jackson ave,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,lic market,2152,44th drive,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,rockaway brewing company,4601,5th st,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,dutch kills bar,2724,jackson ave.,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,piatto lic,18264,50th avenue,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,sweet chick,4642,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,penny bridge restaurant,nil,2803 jackson ave,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,51st bakery and cafe,5-33,51st avenue,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,levante,26-21,jackson avenue,Queens,11101,Hunters Point-Sunnyside-West Maspeth
roadway,vernon grille,48-20,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,5 five star indian cuisine,1315,43rd avenue,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,madera cuban grill,47-29,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,iconyc brewing company,43-63,11th street,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,dai hachi sushi,4618,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,thompson diner,32-44,queens blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,centro pizza bar & italian kitchen,47-23,vernon boulevard,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,gantry bar & kitchen,47-02,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,cyclo,551,47th ave.,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,48-17 v b rest corp,48-17,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,bareburger lic,48-19,vernon boulevard,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,jora restaurant & bar,47-46,11th street,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,bella via restaurant,4746,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
roadway,dai hachi sushi,4618,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
roadway,big alice brewing company,44051,43rd road,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,go nonna,nil,1050 44th dr,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,john brown smokehouse,Oct-43,44th drive,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,brooks 1890 resturant,2428,jackson ave.,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,the gutter bar lic,10-22,46th ave,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,american brass,nil,2-01 50 avenue,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,adda,3131,thomson avenue,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,corazon de mexico restaurant & bar,1009,50th ave,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,thompson diner,32-44,queens blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,casa enrique,17654,49th avenue,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,woodbines,4710,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,hupo,7-Oct,50th ave,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,vernon grille eat greek,48-20,vernon blvd.,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,takumen,18384,50th ave,Queens,11101,Hunters Point-Sunnyside-West Maspeth
roadway,sushi daizen,47-38,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,dai hachi suchi corp.,4618,vernon blvd.,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,murrays cheese bar,28-30,jackson ave,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,r40 argentinian restaurant corp,47-16,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,new grand buffet,3445,48th street,Queens,11101,Hunters Point-Sunnyside-West Maspeth
sidewalk,cyclo,551,47th ave,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,blend,47-04,vernon blvd,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,gallaghers 2000,4319,37 street,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,penny bridge restaurant,nil,2803 jackson ave,Queens,11101,Hunters Point-Sunnyside-West Maspeth
both,1 degree up,3007,newtown ave,Queens,11101,Old Astoria
both,the huntress bar,24-03,41st avenue,Queens,11101,Queensbridge-Ravenswood-Long Island City
both,doha,38-34,31st street,Queens,11101,Queensbridge-Ravenswood-Long Island City
both,rosa coffee shop,3003,38th ave,Queens,11101,Queensbridge-Ravenswood-Long Island City
both,house of thai,2501,40th ave,Queens,11101,Queensbridge-Ravenswood-Long Island City
both,estrella do norte restaurante inc,3802,29th street,Queens,11101,Queensbridge-Ravenswood-Long Island City
sidewalk,doha,38-34,31st street,Queens,11101,Queensbridge-Ravenswood-Long Island City
both,dk public,,3840 29th st,Queens,11101,Queensbridge-Ravenswood-Long Island City
both,estrella do norte restaurante inc,3802,29th street,Queens,11101,Queensbridge-Ravenswood-Long Island City
both,suzuki shokudo,38-01,31st street,Queens,11101,Queensbridge-Ravenswood-Long Island City
both,casa carla,nil,2503 40th ave,Queens,11101,Queensbridge-Ravenswood-Long Island City
sidewalk,the baroness bar,41-26,crescent street,Queens,11101,Queensbridge-Ravenswood-Long Island City
roadway,anable basin sailing bar and grill,14702,44 drive,Queens,11101,
sidewalk,bierocracy,1223,1223 jackson ave,Queens,11101,
both,fusion lounge,3419,steinway,Queens,11101,
sidewalk,"astoria apple, llc",38-01,35th st,Queens,11101,
sidewalk,villa brasil cafe corp,43-16,34th avenuue,Queens,11101,
both,the shannon pot 2,10 50,44th drive long island citu,Queens,11101,
both,manettas fine food corp,1074-76,jackson ave,Queens,11101,
both,communitea,44153,46 rd,Queens,11101,
both,fifth hammer brewing co,1028 1036,46th ave,Queens,11101,
